,E007_Time[h],E007_6803_deltaKaiA3B3_rep1,E007_6803_deltaKaiA3B3_rep2,E007_6803_deltaKaiA3B3_rep3,E007_6803_deltaKaiA3B3_rep4,E007_6803_deltaKaiA3B3_rep5,E008_Time[h],E008_6803_deltaKaiA3B3_rep1,E008_6803_deltaKaiA3B3_rep2,E008_6803_deltaKaiA3B3_rep3,E008_6803_deltaKaiA3B3_rep4,E011_Time[h],E011_6803_deltaKaiA3B3_rep1,E011_6803_deltaKaiA3B3_rep2,E011_6803_deltaKaiA3B3_rep3,E011_6803_deltaKaiA3B3_rep4,E011_6803_deltaKaiA3B3_rep5
140,11.716388888888888,-2.3065110871497176,-1.5149083806149557,-1.8410881325289423,-1.7784468226895138,-2.3011556851044217,11.716666666666669,-2.626201736472742,-2.5502315789602985,-2.7360277638852515,-2.6716790003198327,11.716666666666669,-2.720425093078221,-2.9879336701820334,-2.9811539822754414,-2.750925061434001,-2.8772250941827533
141,11.799722222222222,-2.291384055872512,-1.492066584500285,-1.8280792191531317,-1.7685441514938742,-2.2954142741984844,11.8,-2.6116736084143595,-2.5434442268120296,-2.732356043619041,-2.6597316739390773,11.8,-2.7083719923207195,-2.9852563258157465,-2.9738124589061723,-2.74613397445649,-2.847248952351576
142,11.883055555555556,-2.2846009006557075,-1.4724496681712242,-1.8075731313410897,-1.7615045805995124,-2.293452219929158,11.883333333333333,-2.602929992154066,-2.535914034370629,-2.72646336269866,-2.6427808370678987,11.883333333333333,-2.693464998029487,-2.9895979603224503,-2.956544859300819,-2.73492974713235,-2.8254141281474983
143,11.966388888888888,-2.269162214759836,-1.4500571711147896,-1.7841697367350555,-1.7517266182708862,-2.2820704611885456,11.966666666666669,-2.588571226273125,-2.524240785893826,-2.7151503215101034,-2.6324268544672758,11.966666666666669,-2.679905715049655,-2.981360119836199,-2.945353333825429,-2.719713470795216,-2.804522747048832
144,12.049722222222222,-2.2546685907587,-1.4282886331918427,-1.767468903440408,-1.7450087767967657,-2.2640699346771407,12.05,-2.578997649395821,-2.5188242671212637,-2.6992175197457486,-2.6210700908176063,12.05,-2.666495744256421,-2.9661443449673213,-2.9272400275978927,-2.698486234628532,-2.7843769288057723
145,12.133055555555556,-2.24292062053938,-1.4037435946370873,-1.7508705000256626,-1.7397495724902288,-2.2568515749038256,12.133333333333333,-2.560209600189454,-2.508864265274502,-2.6920655564043567,-2.6043109107187044,12.133333333333333,-2.6540366825550548,-2.955352170802413,-2.9130070804879478,-2.679249125665553,-2.7645787874403918
146,12.216388888888888,-2.226918895302232,-1.3752215960590737,-1.7315743955224732,-1.7239475256886672,-2.235616314185875,12.216666666666669,-2.545007417364349,-2.4925605690570194,-2.6778950297910664,-2.588349678689803,12.216666666666669,-2.624730122880888,-2.9417851269043456,-2.902456627117174,-2.6654032287893417,-2.744130431246643
147,12.299722222222222,-2.2052640055608874,-1.3597221784401907,-1.7143804594256316,-1.7154011607537816,-2.2179650826489543,12.3,-2.5309914396738464,-2.4729129686542124,-2.670106537517402,-2.572786759169551,12.3,-2.602177654199328,-2.93284473731226,-2.890590796858998,-2.6469496267327712,-2.722633962790362
148,12.385833333333332,-2.1805565411422547,-1.3376448831366767,-1.6894885616930675,-1.6983090060715835,-2.192698808227119,12.383333333333333,-2.511362005914308,-2.450521255733394,-2.6531006765012672,-2.5592225165160185,12.383333333333333,-2.5801808615058457,-2.915732520541571,-2.8716117138386887,-2.631289400078522,-2.712291478909264
149,12.469166666666666,-2.167797091186516,-1.3045892518786109,-1.6660985727458504,-1.6818695940523956,-2.1696184166628143,12.469444444444443,-2.4857194549251127,-2.4339852234437958,-2.632078042966949,-2.5318573150066888,12.466944444444444,-2.5577413258259822,-2.8968499895839623,-2.8529214969333623,-2.6080236272590858,-2.6869050707129407
150,12.5525,-2.143586244147131,-1.281554826769917,-1.6436103634681856,-1.6744814611308505,-2.148524831506876,12.552777777777775,-2.471864125588662,-2.411104666416562,-2.613839232445114,-2.5088915188384657,12.552777777777775,-2.540060624215346,-2.891198651907393,-2.830522259771979,-2.5927533845567634,-2.657476823582868
