,E007_Time[h],E007_6803_deltaKaiC3_rep1,E007_6803_deltaKaiC3_rep2,E007_6803_deltaKaiC3_rep3,E007_6803_deltaKaiC3_rep4,E007_6803_deltaKaiC3_rep5,E008_Time[h],E008_6803_deltaKaiC3_rep1,E008_6803_deltaKaiC3_rep2,E008_6803_deltaKaiC3_rep3,E008_6803_deltaKaiC3_rep4,E011_Time[h],E011_6803_deltaKaiC3_rep1,E011_6803_deltaKaiC3_rep2,E011_6803_deltaKaiC3_rep3,E011_6803_deltaKaiC3_rep4,E011_6803_deltaKaiC3_rep5
138,11.549722222222222,-2.212986059102411,-2.186420542493444,-2.091132415867896,-2.1427547056503284,-2.050384131307072,11.547222222222222,-2.6681449034359104,-2.656029619070212,-2.4228464635956515,-2.6707738139361044,11.547222222222222,-3.2100462811913197,-3.4469702299391978,-3.3010337903855937,-3.068719431182485,-3.102256606081596
139,11.633055555555556,-2.207534588012355,-2.1842201054704384,-2.091758698071063,-2.1470111855362517,-2.0409242634420446,11.633333333333333,-2.666714252895136,-2.656499028380794,-2.417925609255389,-2.6624037405751864,11.630833333333332,-3.1969124761791674,-3.4432074079714377,-3.2944927626638365,-3.061783482846248,-3.0949991686700336
140,11.716388888888888,-2.2041473402203837,-2.178854864720589,-2.0894478734046933,-2.147315202605676,-2.033933258676049,11.716666666666669,-2.652146645784702,-2.651039813201139,-2.4077275234137963,-2.656108973943038,11.716666666666669,-3.197958311652786,-3.430318761953835,-3.292331073474908,-3.0578345489755887,-3.090717076347657
141,11.799722222222222,-2.19922427237614,-2.1777248304076027,-2.090600135543029,-2.1458669038923284,-2.0332109447704902,11.8,-2.642442042784113,-2.64745169703182,-2.392651385698562,-2.651289281344222,11.8,-3.177185380976604,-3.4233066294750705,-3.2865500919758954,-3.0422742576961843,-3.08441193636465
142,11.883055555555556,-2.199765341900375,-2.1736300135943765,-2.0832156779229494,-2.152066436647336,-2.01935715059453,11.883333333333333,-2.633000405572289,-2.6343344049160766,-2.381096379103361,-2.642944431479972,11.883333333333333,-3.1651952734524977,-3.4173733423471,-3.2671511840650345,-3.0379042329995203,-3.072285351794517
143,11.966388888888888,-2.194370506984945,-2.170770426242999,-2.086494693743958,-2.1439139483392244,-2.011371706125081,11.966666666666669,-2.6258216968275754,-2.626087663439816,-2.37026168998786,-2.6364741944481955,11.966666666666669,-3.149189574319796,-3.4087212266051514,-3.254735712381708,-3.0213260947428977,-3.046338921534082
144,12.049722222222222,-2.177439726592811,-2.165146081214755,-2.0896373759681968,-2.1350095866539207,-1.9968544424468104,12.05,-2.6189058802277314,-2.61951120073161,-2.3563465080777144,-2.6182783417434754,12.05,-3.134569864755273,-3.3959526025077302,-3.2393050363064466,-3.004541458649429,-3.039374240303484
145,12.133055555555556,-2.170972960458042,-2.1547569922701166,-2.070043917320437,-2.130753499494752,-1.991005191752136,12.133333333333333,-2.606652920449939,-2.600004746462701,-2.3369500264645717,-2.601356646257064,12.133333333333333,-3.1045377218731574,-3.382269784536615,-3.221460511960931,-2.9731519363080388,-3.045192898646184
146,12.216388888888888,-2.163970169085812,-2.141403174068752,-2.046114510288083,-2.1247458349824435,-1.982223787341232,12.216666666666669,-2.5934627831707995,-2.584968031846997,-2.3160714416060664,-2.588708882276888,12.216666666666669,-3.081294718725121,-3.369675081396857,-3.207203492207989,-2.957959135173466,-3.020796482928957
147,12.299722222222222,-2.154631313752402,-2.129684642169519,-2.03684934712117,-2.119386741455124,-1.966710063622024,12.3,-2.582935435066334,-2.5634007896410718,-2.2961099533258262,-2.570334825487547,12.3,-3.0568424243002896,-3.354170796016785,-3.187935326651595,-2.933364658566263,-2.9929865753419023
148,12.385833333333332,-2.1353563565051994,-2.1188014130304698,-2.023848619832367,-2.110276367468318,-1.953463856110191,12.383333333333333,-2.564070843811983,-2.5433027541441664,-2.275864764813467,-2.5484342529703143,12.383333333333333,-3.0209824035252364,-3.335759225548,-3.1732573616368724,-2.90997010567279,-2.963564753898433
149,12.469166666666666,-2.1201452601626967,-2.099753504008848,-2.0133125201969726,-2.095814861794953,-1.941285001429164,12.469444444444443,-2.5518689780826085,-2.5254736611981925,-2.2525350826245942,-2.5246069432031346,12.466944444444444,-2.997916217263982,-3.313642661365377,-3.147770940250094,-2.8903770715452266,-2.940332592435281
150,12.5525,-2.0965979883144925,-2.080940933361088,-1.997441239752921,-2.086202373425357,-1.921773337310129,12.552777777777775,-2.5273298075524897,-2.5051132481877243,-2.2227201166808026,-2.500652676060626,12.552777777777775,-2.9722454223179984,-3.2874233890670657,-3.11847740231868,-2.857187147101561,-2.886691660612501
151,12.635833333333332,-2.074514505321292,-2.06236372024282,-1.9788349698007743,-2.078039051567256,-1.902328702592025,12.636111111111113,-2.507853302895328,-2.4816212540400064,-2.1960190802696804,-2.4759712328140804,12.636111111111113,-2.942971571426207,-3.264703688474492,-3.1001780844111977,-2.8304019191255945,-2.857043523913462
152,12.719166666666666,-2.055094776314907,-2.050821884708863,-1.9670939014037312,-2.060125045645776,-1.8857509372215415,12.719444444444443,-2.49043943578424,-2.4607974192249475,-2.1692311900448016,-2.4517623961314627,12.719444444444443,-2.898096213264977,-3.2340858336323555,-3.0744743198373627,-2.8042229702669434,-2.816389743644851
153,12.8025,-2.0415387671982543,-2.0351154477132303,-1.9528182253876183,-2.045460505303444,-1.8688398822531247,12.802777777777775,-2.470088178891769,-2.4406414857551253,-2.149755666025733,-2.4236259500774096,12.802777777777775,-2.876420892448128,-3.205372092808629,-3.043967438648039,-2.7692518790410325,-2.789531876936675
