,E007_Time[h],E007_6803_deltaKaiA3C3_rep1,E007_6803_deltaKaiA3C3_rep2,E007_6803_deltaKaiA3C3_rep3,E007_6803_deltaKaiA3C3_rep4,E007_6803_deltaKaiA3C3_rep5,E008_Time[h],E008_6803_deltaKaiA3C3_rep1,E008_6803_deltaKaiA3C3_rep2,E008_6803_deltaKaiA3C3_rep3,E008_6803_deltaKaiA3C3_rep4,E011_Time[h],E011_6803_deltaKaiA3C3_rep1,E011_6803_deltaKaiA3C3_rep2,E011_6803_deltaKaiA3C3_rep3,E011_6803_deltaKaiA3C3_rep4,E011_6803_deltaKaiA3C3_rep5
141,11.799722222222222,-2.51204169781836,-2.450792513945931,-2.54801933910152,-2.4256791321503286,-2.372628509295682,11.8,-2.50654018662248,-2.585421703691972,-2.491415690014021,-2.04401196531676,11.8,-4.866644515081236,-3.1572019963824003,-3.295810477037969,-3.251142988739145,-3.3467956087207176
142,11.883055555555556,-2.5044871889424503,-2.434752968170842,-2.5457926371650608,-2.412589826335366,-2.356112657205573,11.883333333333333,-2.5025223439437205,-2.584091130643328,-2.4838869594609845,-2.0248456818285616,11.883333333333333,-4.827107634317906,-3.139519273017913,-3.2758325381679514,-3.234781333306913,-3.325911188823956
143,11.966388888888888,-2.492179573257789,-2.42412520200514,-2.552756126514834,-2.402960765667764,-2.332342743818285,11.966666666666669,-2.4858847035074074,-2.572557943628831,-2.473173222401745,-2.012632522788314,11.966666666666669,-4.764469397583207,-3.1146835045665937,-3.258076459328584,-3.2164373710633303,-3.3060265871680765
144,12.049722222222222,-2.4857188614112675,-2.41290943033313,-2.5499088283077977,-2.386391923894689,-2.313717981147308,12.05,-2.4816279681124267,-2.571222702475201,-2.4578748367823366,-1.981172382282344,12.05,-4.721532344675026,-3.0810959124264734,-3.231743760672229,-3.188512577701185,-3.2895432958986515
145,12.133055555555556,-2.469305064853642,-2.3971058682996,-2.5536497666757696,-2.374083275570677,-2.3126375836631023,12.133333333333333,-2.474152839325164,-2.560485966215142,-2.4523921603162195,-1.954665154520292,12.133333333333333,-4.663299007441212,-3.056157714685063,-3.210235958251109,-3.1674084249749206,-3.268462803322195
146,12.216388888888888,-2.45133819583953,-2.3855147313098146,-2.5447779687254304,-2.3624347960576326,-2.2909007682930977,12.216666666666669,-2.461660017479505,-2.5465482930873318,-2.43232555048428,-1.965310733835108,12.216666666666669,-4.618171909779575,-3.024870126119355,-3.1771545640173144,-3.13992638070064,-3.249586593906164
147,12.299722222222222,-2.435018267427416,-2.365536235029513,-2.536692464538321,-2.344246461524822,-2.2787067544216915,12.3,-2.442750201676835,-2.5344102405364275,-2.4172753645348317,-1.9245090146830544,12.3,-4.559753567637888,-2.997834358195821,-3.1465010858227944,-3.1104679087561,-3.222916148278955
148,12.385833333333332,-2.412945293479646,-2.346770595384914,-2.533992287170843,-2.318918248948883,-2.2546547638902505,12.383333333333333,-2.426824089786039,-2.5204723652130667,-2.4000419594836124,-1.9148598916437023,12.383333333333333,-4.500046489013889,-2.963451619070413,-3.122677027419364,-3.081234469080716,-3.193452943229908
149,12.469166666666666,-2.384919288662431,-2.3230180285627147,-2.524876472654259,-2.2960501361138186,-2.2379440209971118,12.469444444444443,-2.4136823784435006,-2.4963352229738622,-2.3806256921137887,-1.8989632594199364,12.466944444444444,-4.435253173955276,-2.9305231135885648,-3.0946838884587,-3.0494275176755608,-3.1699984517093025
150,12.5525,-2.3617402684458435,-2.302478751010088,-2.5127440599946924,-2.2758421016109973,-2.194973752497577,12.552777777777775,-2.391125763053106,-2.480199368881408,-2.356626918975949,-1.8834190128379529,12.552777777777775,-4.380576114559709,-2.893050043285187,-3.063323164492343,-3.013048506603364,-3.135954142828362
151,12.635833333333332,-2.342208249103824,-2.2759529794346847,-2.504794091173129,-2.2510941248391565,-2.162143187603921,12.636111111111113,-2.3749549377862404,-2.465065357204274,-2.340445996388113,-1.8522270468472568,12.636111111111113,-4.306417794974811,-2.8584336063846747,-3.0221963469716977,-2.982498883988513,-3.104921481859249
152,12.719166666666666,-2.3177232477141727,-2.256440930804634,-2.4946256111454144,-2.2232061860044,-2.144051557985386,12.719444444444443,-2.354570595581788,-2.4445337414170094,-2.3152832804357217,-1.8305872565206651,12.719444444444443,-4.240780691398171,-2.8192749978009,-2.983104923248031,-2.9423800940170497,-3.076501930235072
153,12.8025,-2.296685282158556,-2.2315428223485414,-2.484837667842255,-2.203978266120199,-2.096098097768184,12.802777777777775,-2.327573428146132,-2.418005074200141,-2.298939126971645,-1.7952995370543086,12.802777777777775,-4.176467272077334,-2.774975409137217,-2.939050376572474,-2.904093576936676,-3.0470969455498764
