,E007_Time[h],E007_6803_deltaKaiA3B3C3_rep1,E007_6803_deltaKaiA3B3C3_rep2,E007_6803_deltaKaiA3B3C3_rep3,E007_6803_deltaKaiA3B3C3_rep4,E007_6803_deltaKaiA3B3C3_rep5,E008_Time[h],E008_6803_deltaKaiA3B3C3_rep1,E008_6803_deltaKaiA3B3C3_rep2,E008_6803_deltaKaiA3B3C3_rep3,E008_6803_deltaKaiA3B3C3_rep4
775,64.80805555555555,0.2343882537204705,0.3722459813353416,0.391636842240557,0.3237643549963019,0.3519165087431211,64.80833333333334,0.72777712285181,0.3108158497891484,0.4690132496447345,0.5302600290075165
776,64.89138888888888,0.2395304169728421,0.378906622437257,0.3876220126458632,0.3381481315566277,0.3493416595018918,64.89166666666667,0.7572146328939358,0.3248724178081907,0.4807695611957852,0.5361589331139751
777,64.97472222222223,0.2482857197510809,0.3797648585219847,0.4002259250734822,0.348734650880162,0.3615731517792094,64.975,0.7582970082829673,0.3407150845538704,0.4953030117965555,0.5440537213239022
778,65.06083333333333,0.2512533878944054,0.3908202963408471,0.4106482084619812,0.3549233540763039,0.3714105190323804,65.05833333333334,0.7768236785842396,0.3539432434847684,0.5000134816415036,0.5469441982261676
779,65.14416666666666,0.2516326450887719,0.3940725420360546,0.4222884909920844,0.3671136810301454,0.3670532937197331,65.14444444444445,0.7899940713911804,0.36555628675556,0.5111008516441937,0.5476301687700353
780,65.22749999999999,0.2562227128668773,0.393721201140713,0.4267464000866811,0.3773050704024678,0.3725010073006164,65.22777777777777,0.7762076123253008,0.3689536052170125,0.5235650034372814,0.5463114382651698
781,65.31083333333333,0.2576228106081571,0.3941658785788204,0.4336215624108183,0.3946969596297408,0.3753531902353993,65.3111111111111,0.8098637250361971,0.3819345884159871,0.5344058193725275,0.5531878123816337
782,65.39416666666666,0.2654321555387854,0.4074061786652622,0.4431136038717033,0.4042887849241271,0.3822093719854715,65.39444444444445,0.8379618312015522,0.3922986245954369,0.5392231825207862,0.556459097149885
783,65.47749999999999,0.2696499627316739,0.4186417051058184,0.4516221496187062,0.4174799812734791,0.3844690810132446,65.47777777777777,0.8425013505271353,0.3928451006944099,0.548216976672014,0.5609250989607809
784,65.56083333333333,0.2794754451064744,0.4276720609971606,0.4557468240433546,0.4228699824413394,0.392931844782149,65.5611111111111,0.8158817007467998,0.3957734023480439,0.5663870863352631,0.5641856245655784
785,65.64416666666666,0.2787078134295784,0.4286968488268505,0.4576872507793392,0.4380582209669416,0.4051971897566379,65.64444444444445,0.8223022976224855,0.4068829138875706,0.5757333967386874,0.5634404810759311
786,65.72749999999999,0.2825462763141143,0.4335156704733456,0.4626430527025103,0.4448441281652112,0.4136646414021832,65.72777777777777,0.8129625549442177,0.4091730183403158,0.5956557938295372,0.5686894759638901
787,65.81083333333333,0.2893900402199488,0.4411281272059896,0.4656138519308784,0.4478271341267595,0.4261337241852793,65.8111111111111,0.8184618845301066,0.4044430974296981,0.6045541642741635,0.5711324170619032
788,65.89694444444444,0.2828383094536905,0.4367338196850185,0.4669992698246152,0.4500066677178922,0.4304039615734386,65.89444444444445,0.8037996962263504,0.4140925315752268,0.605228395458016,0.5757691125628193
789,65.98027777777777,0.2884902861686828,0.4363323479615608,0.4615989269860551,0.451182156580606,0.4394748760351983,65.98055555555555,0.8071753979072332,0.4227206998925076,0.6194783754856426,0.5741993710198843
790,66.06361111111111,0.288345170365012,0.4397233114776381,0.4522124432596875,0.4573530271325848,0.444545989040112,66.06388888888888,0.8037883954751215,0.4313269801932368,0.6177039931806904,0.574423001346739
791,66.14694444444444,0.2956021598895011,0.4335063090661626,0.4570394377321678,0.4561187045672063,0.440016821058758,66.14722222222223,0.8090380928604726,0.4317107489852024,0.6229051380859036,0.5740398128174249
792,66.23027777777777,0.297260450435711,0.4320809389509382,0.4486795287323115,0.4676786128535338,0.4490868915627315,66.23055555555555,0.8029238920218245,0.4346713814722862,0.6152817004631264,0.5792496150663813
793,66.31361111111111,0.2951192355439439,0.4360467987466629,0.4469323338310914,0.4736321747363269,0.4497557190246509,66.31388888888888,0.813845192945804,0.4480082515544652,0.6224335712932996,0.5876522180884474
